,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
1,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
2,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
3,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
4,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
5,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
6,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
7,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
8,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
9,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
10,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
11,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
12,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
13,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
14,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
15,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
16,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
17,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
18,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
19,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
20,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
21,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
22,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
23,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
24,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
25,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
26,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
27,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
28,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
29,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
30,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
31,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
32,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
33,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
34,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
35,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
36,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
37,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
38,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
39,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
40,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
41,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
42,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
43,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
44,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
45,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
46,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
47,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
48,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
49,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
50,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
51,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
52,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
53,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
54,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
55,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
56,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
57,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
58,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
59,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
60,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
61,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
62,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
63,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
64,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
65,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
66,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
67,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
68,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
69,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
70,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
71,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
72,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
73,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
74,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
75,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
76,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
77,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
78,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
79,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
80,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
81,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
82,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
83,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
84,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
85,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
86,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
87,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
88,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
89,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
90,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
91,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
92,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
93,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
94,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
95,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
96,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
97,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
98,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
99,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
100,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
101,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
102,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
103,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
104,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
105,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
106,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
107,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
108,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
109,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
110,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
111,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
112,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
113,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
114,Paris,90,FR,1546916400,93,48.86,2.35,282.15,3.6
